record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,clean_date
PR001650,2026/07/26,MANDI_005,,Cotton,6850.985817820893,7570.17,7210.58,6620.0,2026-07-26
PR000246,2026-07-17,MANDI_028,Fatehabad,Cotton,6944.79,7654.18,0.7299,,2026-07-17
PR010091,09.01.2026,MANDI_011,Jalandhar,Rice,0.1857,2013.18,1935.06,2183.0,2026-09-01
PR000982,2026/05/24,MANDI_012,Ferozepur,Maize,1873.34,0.1986,0.193,0.209,2026-05-24
PR001708,18/08/2026,MANDI_013,Karnal,Cotton,,6574.283051769212,6226.45,0.662,2026-08-18
PR004312,01-24-2026,MANDI_001,Patiala,Cotton,,7324.58,,,2026-01-24
PR000288,08-Aug-2026,MANDI_031,Hisar,Wheat,2270.14,2823.4429693584902,,2275.0,2026-08-08
PR002536,2026-01-06,MANDI_036,Kurukshetra,Wheat,1961.63,0.234,2151.0,2275.0,2026-01-06
PR009427,12-Aug-2026,MANDI_050,,Wheat,2277.53,2458.0,2367.64,,2026-08-12
PR003418,09.02.2026,MANDI_011,Ambala,Sugarcane,3156.94,3890.02,,0.35,2026-09-02
PR001250,10/02/2026,MANDI_002,Ambala,Maize,0.1866,2193.0,0.2029,0.209,2026-10-02
PR008959,24.06.2026,MANDI_057,,Mustard,,0.685,0.629,0.565,2026-06-24
PR004344,2026-04-14,MANDI_040,Amritsar,Rice,1989.0202736774606,,2063.53,2183.0,2026-04-14
PR008040,25-Jun-2026,MANDI_053,Ludhiana,Wheat,2016.0,0.23,2158.4,0.2275,2026-06-25
PR002773,06/04/2026,MANDI_050,Ambala,Sugarcane,3391.89,4215.91,3804.0,0.35,2026-06-04
PR007582,24.01.2026,MANDI_043,Ferozepur,Rice,,2521.03,2303.861807881144,2183.0,2026-01-24
PR001390,06-17-2026,MANDI_026,Patiala,Sugarcane,3661.39,4282.71,3972.05,0.35,2026-06-17
PR011220,17/01/2026,MANDI_010,Bathinda,Cotton,6054.0,7147.5,0.6601,6620.0,2026-01-17
PR008656,26/03/2026,MANDI_005,Patiala,Rice,2172.99,,,,2026-03-26
PR000719,2026-04-29,,Kurukshetra,Maize,1878.0,2114.21,,2090.0,2026-04-29
PR005849,2026/01/23,MANDI_016,Patiala,Cotton,0.6473,7364.56,6918.61,0.662,2026-01-23
PR007394,25.03.2026,MANDI_024,Karnal,Sugarcane,3074.76,3382.79,0.3229,3500.0,2026-03-25
PR004644,2026/05/25,MANDI_026,,Mustard,5725.0,6263.77,5994.455824860666,5650.0,2026-05-25
PR002514,21/07/2026,MANDI_007,Hisar,Maize,1988.4744912268284,,2144.167343486675,2090.0,2026-07-21
PR010213,02-17-2026,MANDI_043,Jalandhar,Wheat,0.1958,2157.0,,2275.0,2026-02-17
PR011212,31-May-2026,MANDI_008,,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0,2026-05-31
PR011958,02/04/2026,,Bathinda,Wheat,2215.53,,2332.79,2275.0,2026-02-04
PR002913,08.08.2026,MANDI_027,Sirsa,Mustard,5826.290509325942,6273.0,6049.51,5650.0,2026-08-08
PR000358,31/01/2026,MANDI_030,Ludhiana,Maize,1867.38,,0.1949,,2026-01-31
PR008575,20/07/2026,,Moga,Sugarcane,3509.61,0.4356,3932.8,,2026-07-20
PR010458,2026/01/10,,Bathinda,Cotton,0.5627,,6138.929109845614,6620.0,2026-01-10
PR000951,25.06.2026,MANDI_056,Hisar,Rice,2226.17,0.2525,0.2376,2183.0,2026-06-25
PR002105,01-20-2026,MANDI_039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0,2026-01-20
PR007951,02/01/2026,MANDI_024,Kurukshetra,Maize,,2348.9471523051525,2262.0,,2026-02-01
PR001266,2026/04/25,MANDI_019,Fatehabad,Sugarcane,0.35,0.4245,3873.0,3500.0,2026-04-25
PR006089,02.03.2026,MANDI_046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0,2026-02-03
PR010862,2026/02/11,MANDI_042,Ambala,Mustard,5493.827969524963,,6127.63,5650.0,2026-02-11
PR011617,18.03.2026,MANDI_053,Bathinda,Maize,,2235.4,2122.39,,2026-03-18
PR001291,2026-08-03,MANDI_046,Jalandhar,Rice,,2189.09,,0.2183,2026-08-03
PR001377,2026-06-14,MANDI_007,,Rice,1970.8,2447.0,2209.0,,2026-06-14
PR003954,2026-03-31,MANDI_017,Kurukshetra,Rice,1971.7,0.2237,2104.0,0.2183,2026-03-31
PR003093,20-May-2026,MANDI_008,Ludhiana,Rice,1975.0,2358.74,,2183.0,2026-05-20
PR000689,02.04.2026,MANDI_054,,Wheat,2293.99,2786.0,0.254,,2026-02-04
PR002359,09-Apr-2026,MANDI_026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0,2026-04-09
PR004233,29-Jan-2026,MANDI_049,,Rice,2082.58,,2270.31,2183.0,2026-01-29
PR009368,04-05-2026,MANDI_014,Karnal,Cotton,6403.67,6871.07,6637.37,6620.0,2026-04-05
PR005203,29-Mar-2026,MANDI_024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0,2026-03-29
PR006235,20-May-2026,MANDI_006,Hisar,Cotton,,7062.16,6842.78,,2026-05-20
PR011846,2026-09-05,MANDI_031,Ambala,Wheat,2076.39,2414.63,,,2026-09-05
PR001340,2026-01-16,MANDI_007,Jalandhar,Rice,0.1857,,1989.82,2183.0,2026-01-16
PR008186,01-25-2026,,Moga,Rice,2005.68,2112.51,2059.1,,2026-01-25
PR007070,09.05.2026,MANDI_022,,Rice,,,2273.98,2183.0,2026-09-05
PR004775,02-23-2026,,Jalandhar,Wheat,2097.0,0.2609,2353.0,2275.0,2026-02-23
PR006448,20.02.2026,MANDI_035,Ludhiana,Maize,1881.78,2319.1,2100.44,,2026-02-20
PR003034,29/01/2026,MANDI_055,Amritsar,Wheat,,0.2905,2640.12,2275.0,2026-01-29
PR002947,13/05/2026,,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0,2026-05-13
PR002729,02.03.2026,MANDI_008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0,2026-02-03
PR007737,20-Feb-2026,MANDI_012,Amritsar,Wheat,0.1964,2203.07,2083.63,,2026-02-20
