arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,arrival_quantity_qtl,clean_date
ARR0012424,06-04-2026,MANDI_026,Wheat,Hybrid,44.841,T,128.0,44.841,2026-06-04
ARR0008271,2026-06-02,MANDI_014,Wheat,HD-2967,332.54,Qtl,33.0,332.54,2026-06-02
ARR0022724,08-16-2026,MANDI_056,Wheat,HD-2967,415.88 qtl,,,415.88,2026-08-16
ARR0012573,06-24-2026,MANDI_019,Maize,,-107.13,KG,112.0,107.13,2026-06-24
ARR0012098,09.08.2026,MANDI_050,Maize,Premium,-331.59,Qtl,,331.59,2026-09-08
ARR0013701,2026-03-31,MANDI_049,Sugarcane,Local,119.93,Q,105.0,119.93,2026-03-31
ARR0010753,10/07/2026,MANDI_054,Cotton,HD-2967,187.68,qtl,45.0,187.68,2026-10-07
ARR0022123,15/07/2026,MANDI_045,Mustard,Hybrid,393.67 qtl,,24.0,393.67,2026-07-15
ARR0003275,04-08-2026,MANDI_029,Mustard,PBW-343,14.84,Quintals,129.0,14.84,2026-04-08
ARR0002542,2026-08-14,MANDI_010,Mustard,Pusa-1121,93.28,qtl,109.0,93.28,2026-08-14
ARR0016719,2026-05-25,MANDI_044,Maize,PBW-343,3.8369999999999997,tonnes,80.0,3.8369999999999997,2026-05-25
ARR0019527,02/08/2026,MANDI_042,Maize,HD-2967,17077.0,kg,26.0,17077.0,2026-02-08
ARR0009636,31/03/2026,MANDI_056,Maize,HD-2967,37.3,quintal,,37.3,2026-03-31
ARR0010366,16/01/2026,MANDI_011,Sugarcane,Pusa-1121,44.83,Q,65.0,44.83,2026-01-16
ARR0005837,27.06.2026,MANDI_025,Wheat,,45.474000000000004,tonnes,,45.474000000000004,2026-06-27
ARR0002387,18.01.2026,MANDI_050,Sugarcane,HD-2967,1518.0,KGS,,1518.0,2026-01-18
ARR0024112,2026-08-09,MANDI_006,Mustard,,34.63,quintal,102.0,34.63,2026-08-09
ARR0010546,2026/01/09,MANDI_039,Wheat,,41.577,MT,139.0,41.577,2026-01-09
ARR0002154,03-20-2026,MANDI_001,Rice,HD-2967,39646.0,kg,61.0,39646.0,2026-03-20
ARR0020380,06-03-2026,MANDI_028,Mustard,Pusa-1121,99.87,Quintals,,99.87,2026-06-03
ARR0021641,15-Aug-2026,MANDI_045,Mustard,HD-2967,39119.0,KGS,41.0,39119.0,2026-08-15
ARR0004098,25-Mar-2026,MANDI_027,Cotton,Pusa-1121,111.01,Qtl,137.0,111.01,2026-03-25
,18.06.2026,MANDI_026,Maize,Pusa-1121,264.38,Qtl,96.0,264.38,2026-06-18
ARR0006088,12-Aug-2026,MANDI_019,Sugarcane,HD-2967,373.93,Quintals,121.0,373.93,2026-08-12
ARR0021143,30.04.2026,MANDI_024,Mustard,Premium,7048.999999999999,Kgs,7.0,7048.999999999999,2026-04-30
ARR0019959,21/08/2026,MANDI_022,Maize,PBW-343,38.343,Tonnes,85.0,38.343,2026-08-21
ARR0001442,2026/05/31,MANDI_044,Rice,Local,113.89,Qtl,97.0,113.89,2026-05-31
